"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y"
29, 7.919700145720000e-01, -2.662062628442961e-02, 3.443955767386422e-01, 9.750645334019980e+02, 1.066017271140058e+02, 1.804160572696197e+06, 1.629376730447567e+05, 1.648140722461669e+03, 3.499531332842412e+00, 8.686711507490981e-03, 2.831234194804898e+03, 3.095327998213652e+02
30, 7.790099978450000e-01, -2.806276676215449e-02, 3.489204353100800e-01, 9.870338732381354e+02, 1.059836869133682e+02, 1.828251713054642e+06, 1.664335641915527e+05, 1.661670284241467e+03, 3.481558330501240e+00, 9.179593837588059e-03, 2.828822199424847e+03, 3.037474340509239e+02
31, 7.657799720760000e-01, -2.951033727360171e-02, 3.547903586100227e-01, 1.002553007114650e+03, 1.049604168511042e+02, 1.858513720932371e+06, 1.706000574919530e+05, 1.675088314885704e+03, 3.462860218487460e+00, 9.767023720271127e-03, 2.825761700634691e+03, 2.958378498849635e+02
32, 7.522799968720000e-01, -3.096181144522562e-02, 3.597740442713032e-01, 1.015787250625735e+03, 1.044823422703507e+02, 1.884769104702713e+06, 1.742436472246134e+05, 1.687164661003398e+03, 3.446915766175048e+00, 1.028072993191828e-02, 2.823403374423912e+03, 2.904110063914486e+02
33, 7.385200262070000e-01, -3.241453277608040e-02, 3.652222944908229e-01, 1.029571857035018e+03, 1.039457428728686e+02, 1.910266044296846e+06, 1.777112592562337e+05, 1.695071449487908e+03, 3.432880614070540e+00, 1.076962521676835e-02, 2.819027952470433e+03, 2.846095225861972e+02
34, 7.245299816130000e-01, -3.386376679305321e-02, 3.713875839639454e-01, 1.046668417517215e+03, 1.033328305515669e+02, 1.942598429592760e+06, 1.813315464483153e+05, 1.700890400666146e+03, 3.425318453148199e+00, 1.128004602563397e-02, 2.818264429698400e+03, 2.782344779775905e+02
35, 7.103199958800001e-01, -3.530689307158652e-02, 3.768720402184442e-01, 1.061807221359136e+03, 1.017272320412966e+02, 1.972216462035673e+06, 1.850832331993784e+05, 1.710816791234146e+03, 3.413384446620845e+00, 1.180899273192745e-02, 2.817421055548951e+03, 2.699251236104781e+02
36, 6.958900094030001e-01, -3.674225211597043e-02, 3.826802149790178e-01, 1.077338508762873e+03, 1.012168834883642e+02, 2.003196061131872e+06, 1.893298187320649e+05, 1.723508204459893e+03, 3.397574195901186e+00, 1.240771474140000e-02, 2.815244861357525e+03, 2.644946864940846e+02
37, 6.812700033190000e-01, -3.816515293304169e-02, 3.892970230817045e-01, 1.093962979678677e+03, 1.005974359995088e+02, 2.034473536666401e+06, 1.937616346011425e+05, 1.733872075290032e+03, 3.380591254995192e+00, 1.303255219782771e-02, 2.810098497591335e+03, 2.584079251445899e+02
38, 6.664699912070000e-01, -3.957289370556494e-02, 3.948109607537168e-01, 1.108336386312819e+03, 1.000322345843121e+02, 2.063762897131928e+06, 1.981588507276463e+05, 1.748455642860719e+03, 3.362543568577390e+00, 1.365251146983135e-02, 2.807258400822868e+03, 2.533674201783679e+02
39, 6.514999866490000e-01, -4.096270419333766e-02, 4.029752072978841e-01, 1.131898100322251e+03, 9.704745497711600e+01, 2.111022554352635e+06, 2.038676213483392e+05, 1.762382913771342e+03, 3.349812192126975e+00, 1.445738554838944e-02, 2.808852951307097e+03, 2.408273591515951e+02
40, 6.363800168040000e-01, -4.233084266562091e-02, 4.069385138684556e-01, 1.141334830677127e+03, 9.576677229364128e+01, 2.134609666346921e+06, 2.091192087904102e+05, 1.790174957941804e+03, 3.318265723327432e+00, 1.519780181035708e-02, 2.804686191600108e+03, 2.353347472158859e+02
41, 6.211299896240000e-01, -4.367359094194759e-02, 4.152421057234216e-01, 1.163142721037845e+03, 9.382872572913371e+01, 2.175885023643018e+06, 2.144933438327725e+05, 1.799462415860752e+03, 3.304607370853584e+00, 1.595549594061153e-02, 2.801119407222577e+03, 2.259614919485785e+02
42, 6.057599782940000e-01, -4.498807223669178e-02, 4.198474568352109e-01, 1.174025554181114e+03, 9.255648318503287e+01, 2.201460575754176e+06, 2.199144170774792e+05, 1.824704403328696e+03, 3.275566082178272e+00, 1.671980784286478e-02, 2.796314554411880e+03, 2.204526469749728e+02
43, 5.902799963950000e-01, -4.627132533375768e-02, 4.290319420790290e-01, 1.198558735255636e+03, 9.088825823229615e+01, 2.249011166115085e+06, 2.260864480249470e+05, 1.835757236538310e+03, 3.261807509839729e+00, 1.758999654928582e-02, 2.793635199858518e+03, 2.118449684465551e+02
44, 5.747100114820000e-01, -4.751950934859488e-02, 4.346661714716302e-01, 1.211711134208984e+03, 8.955060451056613e+01, 2.278093406731969e+06, 2.319743878281405e+05, 1.859150469873214e+03, 3.233850487711121e+00, 1.842013151854225e-02, 2.787682165618151e+03, 2.060215641060324e+02
45, 5.590599775310000e-01, -4.872955796694115e-02, 4.450533975145680e-01, 1.238863145913881e+03, 8.728805790022312e+01, 2.329997533458328e+06, 2.388682079701935e+05, 1.869720010060550e+03, 3.219210748724474e+00, 1.939208458922047e-02, 2.783628105823703e+03, 1.961294046684947e+02
46, 5.433599948880000e-01, -4.989683951066199e-02, 4.511893117052972e-01, 1.253302966406702e+03, 8.527567399225755e+01, 2.362049396650627e+06, 2.453172548379091e+05, 1.894085757610934e+03, 3.191181994617609e+00, 2.030132950377627e-02, 2.777776276813313e+03, 1.890019816071285e+02
47, 5.276100039480000e-01, -5.101897737545535e-02, 4.619656417985709e-01, 1.281636312579651e+03, 8.216418614450761e+01, 2.417010108285244e+06, 2.527498185080414e+05, 1.905950078191095e+03, 3.176443644776301e+00, 2.134923950626222e-02, 2.774310893749276e+03, 1.778577857535417e+02
48, 5.118399858470000e-01, -5.209138375948307e-02, 4.681472854218910e-01, 1.295315785130700e+03, 7.967454773605796e+01, 2.450139973211359e+06, 2.605426783196296e+05, 1.938771866874555e+03, 3.140515665399323e+00, 2.244794731516402e-02, 2.766897994427909e+03, 1.701911988323415e+02
49, 4.960500001910000e-01, -5.311153541819326e-02, 4.794801762582865e-01, 1.322922408764657e+03, 7.688092417377611e+01, 2.506192485621887e+06, 2.700027594150895e+05, 1.961678768350835e+03, 3.112669852535017e+00, 2.378171504918254e-02, 2.759076337813026e+03, 1.603422372406109e+02
50, 4.802699983120000e-01, -5.407492053959814e-02, 4.868721529557069e-01, 1.338493601000495e+03, 7.515817093580907e+01, 2.539778373919968e+06, 2.776420278714599e+05, 1.986555110564875e+03, 3.081667593697467e+00, 2.485876816065135e-02, 2.749168529920551e+03, 1.543694180896121e+02
51, 4.645099937920000e-01, -5.497835513414191e-02, 5.013354398758014e-01, 1.375606007250095e+03, 7.247324286392366e+01, 2.607840591543252e+06, 2.861403782818707e+05, 1.988296215487543e+03, 3.073818092661134e+00, 2.605694241047136e-02, 2.743883431801434e+03, 1.445603823297987e+02
52, 4.487800002100000e-01, -5.581859897363720e-02, 5.117579487966397e-01, 1.399928571197620e+03, 6.934511605982166e+01, 2.656613913139763e+06, 2.948572957443557e+05, 2.007139817093790e+03, 3.049550162618672e+00, 2.728593221872414e-02, 2.735528728941968e+03, 1.355037400452333e+02
