"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y"
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.374238159615705e+00, 3.224037779719264e+02, 4.406237319493662e+01, 3.148775928886455e+05, 1.105409442190561e+05, 2.802150851290844e+02, 7.056056153196479e-01, 2.030229860389141e-01, 2.346054617360386e+02, 3.206312740381065e+01
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.367333943278224e+00, 3.240588941839741e+02, 4.390442017736827e+01, 3.135168555568281e+05, 1.097643652399065e+05, 2.796514789813440e+02, 7.134140749991138e-01, 1.859153105262976e-01, 2.370005482399079e+02, 3.210950799049581e+01
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.360645510801377e+00, 3.256141396791760e+02, 4.370983733599547e+01, 3.121971322571770e+05, 1.090135717576916e+05, 2.791039105212528e+02, 7.209490700575603e-01, 1.693756775777109e-01, 2.393085760356491e+02, 3.212433877083220e+01
16, 9.296900033950000e-01, -9.774221272349531e-03, 1.354144759629008e+00, 3.270819741227412e+02, 4.348114480178603e+01, 3.109130610877787e+05, 1.082852260486566e+05, 2.785700738775474e+02, 7.282481348495028e-01, 1.533305586835285e-01, 2.415413653502977e+02, 3.210967253877529e+01
17, 9.214000105860000e-01, -1.087086069705918e-02, 1.347806914954600e+00, 3.284716152292360e+02, 4.322184543537974e+01, 3.096598263064399e+05, 1.075764744016314e+05, 2.780481258882620e+02, 7.353413027238376e-01, 1.377170879073574e-01, 2.437082133832948e+02, 3.206827695852536e+01
18, 9.126999974250000e-01, -1.200973104171110e-02, 1.341622282378607e+00, 3.297905802166867e+02, 4.293276749452527e+01, 3.084357130936111e+05, 1.068860305658982e+05, 2.775370907885272e+02, 7.422459784730662e-01, 1.225069297411572e-01, 2.458147755506788e+02, 3.200063688448013e+01
19, 9.035800099370001e-01, -1.319055953446835e-02, 1.335567274187571e+00, 3.310410281144192e+02, 4.261637580165239e+01, 3.072357218391651e+05, 1.062115921864732e+05, 2.770361835288741e+02, 7.489764282468789e-01, 1.076493643701577e-01, 2.478654834634163e+02, 3.190882003871804e+01
20, 8.940600156780000e-01, -1.440916392228702e-02, 1.329640668267330e+00, 3.322353707262403e+02, 4.227445820846324e+01, 3.060603433847894e+05, 1.055522900863997e+05, 2.765436659349351e+02, 7.555591543044246e-01, 9.312524422825506e-02, 2.498685386625397e+02, 3.179389681540922e+01
21, 8.841500282290000e-01, -1.566269158090452e-02, 1.323830076762557e+00, 3.333743095369139e+02, 4.190865264796071e+01, 3.049068900192259e+05, 1.049069771116455e+05, 2.760593585491652e+02, 7.619993072180041e-01, 7.890929804301629e-02, 2.518256046517579e+02, 3.165712381338914e+01
22, 8.738499879840000e-01, -1.694956337677533e-02, 1.318108932205276e+00, 3.344579856580812e+02, 4.151986608503515e+01, 3.037696343402179e+05, 1.042731562577620e+05, 2.755824531089728e+02, 7.683101257625201e-01, 6.494651796204763e-02, 2.537407777811752e+02, 3.149957114361549e+01
23, 8.631799817090000e-01, -1.826569132102762e-02, 1.312486610343188e+00, 3.355011132850190e+02, 4.111040776040858e+01, 3.026515497402414e+05, 1.036507565510008e+05, 2.751109902656681e+02, 7.745196263285461e-01, 5.123534046651507e-02, 2.556225036058025e+02, 3.132253497783042e+01
24, 8.521599769590000e-01, -1.960709133914372e-02, 1.306930822353462e+00, 3.364979158991998e+02, 4.068032945417268e+01, 3.015452971534253e+05, 1.030371215133813e+05, 2.746448517160482e+02, 7.806311545850387e-01, 3.771724457591683e-02, 2.574718647259765e+02, 3.112661263961728e+01
25, 8.407700061800000e-01, -2.097463226217677e-02, 1.301438674565419e+00, 3.374572499936122e+02, 4.023210203486398e+01, 3.004508626580926e+05, 1.024313692775033e+05, 2.741824262388902e+02, 7.866673828582175e-01, 2.437280315954887e-02, 2.592955446834997e+02, 3.091355960225973e+01
26, 8.290500044819999e-01, -2.236196298315981e-02, 1.295995976203365e+00, 3.383780061103512e+02, 3.976435880839453e+01, 2.993650890435156e+05, 1.018322640653186e+05, 2.737235046049510e+02, 7.926323625366994e-01, 1.117479259892509e-02, 2.610949511599822e+02, 3.068247088612470e+01
27, 8.170099854470000e-01, -2.376642068849115e-02, 1.290599625123177e+00, 3.392664259094942e+02, 3.927866485207608e+01, 2.982877439743593e+05, 1.012390778867578e+05, 2.732668757260548e+02, 7.985429814489020e-01, -1.892824390271413e-03, 2.628750383195826e+02, 3.043443069985957e+01
28, 8.046399950980000e-01, -2.518763605296113e-02, 1.285240205936985e+00, 3.401208650136894e+02, 3.877509462758955e+01, 2.972166684598179e+05, 1.006510550462931e+05, 2.728125681497701e+02, 8.043998743791528e-01, -1.484669543078446e-02, 2.646360294694712e+02, 3.016953130510039e+01
29, 7.919700145720000e-01, -2.662062628442961e-02, 1.279917791995746e+00, 3.409428444548545e+02, 3.825276096580905e+01, 2.961519390459334e+05, 1.000681417097628e+05, 2.723604882312802e+02, 8.102052074236105e-01, -2.768800646428539e-02, 2.663787054035949e+02, 2.988688899008303e+01
30, 7.790099978450000e-01, -2.806276676215449e-02, 1.274629734696165e+00, 3.417395287762109e+02, 3.771236480232530e+01, 2.950935082122450e+05, 9.948956546667109e+04, 2.719091572344510e+02, 8.159787750800629e-01, -4.043377333652561e-02, 2.681088628908157e+02, 2.958691749907658e+01
31, 7.657799720760000e-01, -2.951033727360171e-02, 1.269354990410307e+00, 3.425100636152447e+02, 3.715372541626634e+01, 2.940368446347449e+05, 9.891334322643287e+04, 2.714576790709037e+02, 8.217326460166763e-01, -5.312768261532741e-02, 2.698300051623319e+02, 2.926976747793520e+01
32, 7.522799968720000e-01, -3.096181144522562e-02, 1.264053909890393e+00, 3.432532493290780e+02, 3.657545328820593e+01, 2.929734740210868e+05, 9.833567521763941e+04, 2.710040949178596e+02, 8.274921720963014e-01, -6.585344150630466e-02, 2.715495333255539e+02, 2.893504224940644e+01
33, 7.385200262070000e-01, -3.241453277608040e-02, 1.258725367121495e+00, 3.439773211247642e+02, 3.597792938538633e+01, 2.919037951558732e+05, 9.775581404216745e+04, 2.705465232401193e+02, 8.332813596676301e-01, -7.862751484421927e-02, 2.732743218732342e+02, 2.858282698128358e+01
34, 7.245299816130000e-01, -3.386376679305321e-02, 1.253374858191458e+00, 3.446826535083493e+02, 3.535872838083630e+01, 2.908289757569138e+05, 9.717429342264449e+04, 2.700851821953702e+02, 8.390974540378008e-01, -9.143814496659235e-02, 2.750036441657246e+02, 2.821081670000684e+01
